"MeterID","year_month","Allocation","Consumption"
"014-004","","0","0"
"078-060","2022_05","0","0"
"078-060","2022_04","0","0"
"078-060","2022_08","0","289.4743983614951"
"078-060","2022_03","0","0"
"078-060","2024_02","0","68.41379310344827"
"078-060","2024_07","0","58.847457627118665"
"078-060","2024_03","0","93"
"078-060","2024_05","0","0.5081967213114756"
"078-060","2023_04","0","0"
"078-060","2023_05","0","0"
"078-060","2023_10","0","44.265417642466815"
"078-060","2023_06","0","14.315789473684205"
"078-060","2024_10","0","36.14285714285714"
"078-060","2022_11","0","16.842105263157897"
"078-060","2024_06","0","40.01194776326757"
"078-060","2024_08","0","109.66908797417265"
"078-060","2024_01","0","10.689655172413799"
"078-060","2023_11","0","57.142857142857146"
"078-060","2023_07","0","26.10526315789472"
"078-060","2022_10","0","146.02172096908942"
"078-060","2023_08","0","13.34943917169974"
"078-060","2022_07","0","68.5"
"078-060","2023_01","0","18.890625"
"078-060","2023_12","0","27.84893267651889"
"078-060","2023_03","0","0"
"078-060","2022_09","0","367.61904761904765"
"078-060","2022_02","0","0"
"078-060","2024_09","0","120.4761904761904"
"078-060","2024_04","0","27.344262295081975"
"078-060","2022_06","0","48.61290322580646"
"078-060","2022_12","0","18.554824561403507"
"078-060","2023_09","0","7.868852459016397"
"078-060","2023_02","0","5.484375"
"022-240","2022_10","0","10.333333333333334"
"022-240","2023_04","0","2.4193548387096766"
"022-240","2023_01","0","0.984375"
"022-240","2023_10","0","20.836065573770497"
"022-240","2024_09","0","52.3809523809524"
"022-240","2022_06","0","8.57142857142857"
"022-240","2023_07","0","10.215691634773098"
"022-240","2024_06","0","9.836065573770492"
"022-240","2023_02","0","0"
"022-240","2023_03","0","1.9354838709677413"
"022-240","2024_07","0","42.781680978402306"
"022-240","2022_04","0","8.135593220338986"
"022-240","2022_07","0","11.399515738498794"
"022-240","2023_11","0","45.55659640905541"
"022-240","2024_10","0","54.12698412698415"
"022-240","2024_05","0","8.920293951384966"
"022-240","2022_12","0","3.390625"
"022-240","2022_03","0","5.69491525423729"
"022-240","2024_02","0","0.4603174603174603"
"022-240","2024_04","0","5.172413793103451"
"022-240","2024_08","0","54.12698412698415"
"022-240","2023_12","0","53.63492063492062"
"022-240","2024_01","0","14.20634920634921"
"022-240","2023_05","0","7.6935483870967785"
"022-240","2024_03","0","3.6228790366721415"
"022-240","2022_09","0","10.514124293785313"
"022-240","2023_08","0","10.50847457627118"
"022-240","2023_06","0","9.193548387096778"
"022-240","2023_09","0","18.165045846068352"
"022-240","2022_11","0","4.625"
"022-240","2022_08","0","12.61016949152543"
"022-240","2022_05","0","8.7409200968523"
"022-240","2024_11","0","19.206349206349213"
"078-180","2022_10","0","21.71261487050962"
"078-180","2023_08","0","36.185504745470254"
"078-180","2024_02","0","15.429365962180196"
"078-180","2023_02","0","5.706454918032788"
"078-180","2024_05","0","38.11475409836067"
"078-180","2024_10","0","23.28571428571429"
"078-180","2023_09","0","34.91803278688527"
"078-180","2024_01","0","11.758620689655165"
"078-180","2022_09","0","23.80952380952382"
"078-180","2023_07","0","36.43859649122808"
"078-180","2022_05","0","35.810344827586206"
"078-180","2024_08","0","78.34947538337369"
"078-180","2022_08","0","24.718381976446498"
"078-180","2022_02","0","22.18644067796611"
"078-180","2022_03","0","40.45762711864409"
"078-180","2023_04","0","12.116315378610459"
"078-180","2022_07","0","24.999999999999982"
"078-180","2024_07","0","71.98305084745765"
"078-180","2024_09","0","77.6190476190476"
"078-180","2022_04","0","36.3042080654588"
"078-180","2023_05","0","16.238095238095237"
"078-180","2023_12","0","20.33223864258347"
"078-180","2023_03","0","6.098360655737709"
"078-180","2023_06","0","26.791979949874705"
"078-180","2024_03","0","18"
"078-180","2022_06","0","26.983314794215783"
"078-180","2024_04","0","31.04547858276046"
"078-180","2022_11","0","19.473684210526326"
"078-180","2024_06","0","59.82828563489861"
"078-180","2023_11","0","34.76190476190475"
"078-180","2023_01","0","6.78125"
"078-180","2023_10","0","35.96747332812907"
"078-180","2022_12","0","9.793859649122808"
"001-429","2022_05","0","304.7405475880051"
"001-429","2022_12","0","11.446153846153855"
"001-429","2022_09","0","25.805035128805613"
"001-429","2023_08","0","10.485294117647054"
"001-429","2023_02","0","9.799999999999995"
"001-429","2024_09","0","22.248991935483865"
"001-429","2023_12","0","10.015384615384617"
"001-429","2024_11","0","3.032258064516129"
